Name,type,RAM,CPU,GPU,ScreenSize,Resoloution,Storage,OS,price
HP,Gaming,8GB,Intel Core I5,NVIDIA  GTX 1650,15.6 Inch,1920x1080,1TB HDD,Dos,32099
Lenovo,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,22560
HP,Notebook,8GB,Intel Core i7 1165,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,35499
HP,Notebook,16GB,Intel Core i7 1260P,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows,49499
ASUS,Gaming,8GB,AMD Ryzen 7 7435HS,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows,39999
HP,Notebook,4GB,Intel Core i3 1005G,Intel UHD,15.6 Inch,1920x1080,1TB HDD,Windows,14888
ASUS,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,22480
MSI,Notebook,8GB,Intel Core i5 1266H,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Windows,29899
Fujitsu,Notebook,8GB,Intel Core i3 1125G,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,13666
Lenovo,Notebook,16GB,Intel Core i7 1362,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,34999
TAGITOP,Notebook,8GB,Intel Core i5,Intel Iris Plus,14 Inch,1920x1080,256GB SSD,Dos,26000
Lenovo,Notebook,8GB,Intel Core i5 1342,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,25888
Apple,Ultrabook,8GB,M2,8 core,15.6 Inch,2880x1800,256GB SSD,Mac,66900
Lenovo,Gaming,8GB,Intel Core i5 11300H,NVIDIA RTX 3050,15.6 Inch,1920x1080,256GB SSD,Dos,31849
ASUS,Notebook,32GB,Intel Core Ultra 9 185H,NVIDIA RTX 4090,15.6 Inch,2880x1800,2TB SSD,Windows,180999
Lenovo,Notebook,8GB,Intel Core i5 11300H,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Dos,30469
DELL,Notebook,8GB,Intel Core i5 11300U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos,21249
Lenovo,Notebook,16GB,Core i9 13900HX,NVIDIA RTX 4050,15.6 Inch,2880x1800,512GB SSD,Dos,73760
ASUS,Gaming,16GB,AMD Ryzen 7 7435HS,NVIDIA RTX 4050,15.6 Inch,2880x1800,512GB SSD,Windows,48699
DELL,Notebook,8GB,Intel Core i5 1215U,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Windows,21790
Apple,Ultrabook,8GB,M2,8 core,15.6 Inch,2880x1800,256GB SSD,Mac,57777
DELL,Notebook,8GB,Intel Core i7 1255U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,27990
Lenovo,Notebook,16GB,Intel Core i7 1316HX,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos,46279
ASUS,Notebook,8GB,Intel Core i7 1355U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Windows,28770
Fujitsu,Notebook,8GB,Intel Corei3 1115G4,Intel UHD,15.6 Inch,1920x1080,256GB SSD,Dos,14999
DELL,Notebook,16GB,Intel Core i7 13650HX,NVIDIA RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows,51990
HP,Notebook,8GB,Intel Core i5 1335U,Intel Iris,14 Inch,1920x1080,512GB SSD,Windows,38990
DELL,Notebook,64GB,Intel Core i9,NVIDIA RTX 3060,15.6 Inch,2880x1800,2TB SSD,Windows,160000
ASUS,Notebook,8GB,AMD Ryzen 5 7520U,AMD Radeon,15.6 Inch,1920x1080,512GB SSD,Windows,22799
ASUS,Notebook,8GB,AMD Ryzen 5 7435HS,NVIDIA RTX 2050,15.6 Inch,1920x1080,512GB SSD,Windows,45999
